,Retrieve,Internet,ChatMemory,RunCode
Can you summarize this PDF?,1,0,0,0
Can you fact-check this statement?,0,1,0,0
Can you remember what I said earlier in the chat?,0,0,1,0
Can you continue our earlier conversation?,0,0,1,0
Can you retrieve a document?,1,0,0,0
Can you retrieve a chat memory?,0,0,1,0
Can you retrieve an internet fact?,0,1,0,0
Can you check online?,0,1,0,0
Can you check the facts?,0,1,0,0
How's the weather today?,0,1,0,0
Can you summarize this document?,1,0,0,0
Check online,0,1,0,0
Look up in the internet,0,1,0,0
Look up in the web,0,1,0,0
Can you find this document?,1,0,0,0
Do you remember what we talked about?,0,0,1,0
The topic we discussed earlier,0,0,1,0
Can you get the PDF we talked about?,1,0,0,0
Can you verify this info?,0,1,0,0
What did I say before about that?,0,0,1,0
Check if this is true,0,1,0,0
Did I already ask you this earlier?,0,0,1,0
Find that file again,1,0,0,0
Can you access my previous chats?,0,0,1,0
Is this information accurate?,0,1,0,0
Retrieve the last document,1,0,0,0
Can you look this up for me?,0,1,0,0
Can you see what we discussed last time?,0,0,1,0
Was that in the file I gave you?,1,0,0,0
Did we already talk about this?,0,0,1,0
Does this match what's online?,0,1,0,0
Open the document again,1,0,0,0
What's the source of that info?,0,1,0,0
Pull up the doc we used,1,0,0,0
Can you show me that PDF again?,1,0,0,0
Can you validate this claim?,0,1,0,0
Remind me what I said before,0,0,1,0
What did we conclude earlier?,0,0,1,0
Can you double-check this with online sources?,0,1,0,0
Where did that info come from?,0,1,0,0
Bring back the document we were using,1,0,0,0
Can you confirm this is correct?,0,1,0,0
Can you reaccess our previous conversation?,0,0,1,0
Was that mentioned in the previous file?,1,0,0,0
Do you still remember our last discussion?,0,0,1,0
Please find the article I gave you,1,0,0,0
Is this factually accurate?,0,1,0,0
"Summarize the file again, please",1,0,0,0
Can you recall my previous input?,0,0,1,0
Was that in the chat we had yesterday?,0,0,1,0
Bring up the last thing I uploaded,1,0,0,0
Check this against online data,0,1,0,0
Review what we discussed before,0,0,1,0
Locate the PDF we used earlier,1,0,0,0
Can you get the notes I shared?,1,0,0,0
Verify this with trusted sources,0,1,0,0
What was the answer you gave me earlier?,0,0,1,0
Can you access the previous PDF?,1,0,0,0
Cross-check this with real data,0,1,0,0
Didn't we go over this before?,0,0,1,0
Reopen the document from earlier,1,0,0,0
Does this align with what's online?,0,1,0,0
Recall what we discussed on this,0,0,1,0
Can you load the file I uploaded before?,1,0,0,0
Fact-check this statement for accuracy,0,1,0,0
What was my last question about this?,0,0,1,0
Bring up the previous reference document,1,0,0,0
Check online databases for this info,0,1,0,0
Go back to what we said earlier,0,0,1,0
Was this mentioned in the uploaded file?,1,0,0,0
Can you confirm this using external sources?,0,1,0,0
Pull up the chat history,0,0,1,0
Look at the previous version of the file,1,0,0,0
Is this consistent with public knowledge?,0,1,0,0
Can you repeat what I told you earlier?,0,0,1,0
Can you fetch the document from earlier?,1,0,0,0
Can you confirm this using current data?,0,1,0,0
Do you recall my original request?,0,0,1,0
Show me the file you processed before,1,0,0,0
Is that what official sources say?,0,1,0,0
Remind me what we were working on,0,0,1,0
Open the resource we talked about,1,0,0,0
Compare this with verified sources,0,1,0,0
What did I mention previously?,0,0,1,0
Locate the earlier document version,1,0,0,0
Does this check out online?,0,1,0,0
What were my exact words again?,0,0,1,0
Bring back the uploaded file,1,0,0,0
Verify the accuracy of this info,0,1,0,0
Recall the last thing I said about this,0,0,1,0
Access the document we used yesterday,1,0,0,0
Look this up from a reliable source,0,1,0,0
Can you show what I said earlier?,0,0,1,0
Find the file I attached,1,0,0,0
Is that supported by public sources?,0,1,0,0
Check the previous chat logs,0,0,1,0
Can you debug this Python function for me?,0,1,0,1
What's the output of this code snippet?,0,0,0,1
Can you optimize this loop?,0,1,0,1
Write a function that checks for prime numbers,0,0,0,1
Fix the error in this JavaScript code,0,1,0,1
Can you show me how recursion works with factorial?,0,1,0,0
What does this regular expression do?,0,1,0,0
Can you convert this function from Java to Python?,0,0,0,1
Simulate a coin toss in Python,0,0,0,1
Can you write a sorting algorithm?,0,0,0,1
Help me write a SQL query for this data,0,1,0,1
Find the bug in this C++ loop,0,1,0,1
Write a Python script to rename files in a folder,0,1,0,1
What does this traceback mean in Python?,0,1,0,0
Can you explain this error message?,0,1,0,0
Show me how to write a for loop in Go,0,1,0,0
How do I reverse a string in JavaScript?,0,1,0,0
Write a function to calculate Fibonacci numbers,0,0,0,1
Check if this code will cause a memory leak,0,1,0,1
Can you simulate dice rolls in Python?,0,0,0,1
How do I fix a segmentation fault in C?,0,1,0,0
Generate a function to compute factorial recursively,0,0,0,1
Why does this infinite loop happen?,0,1,0,1
Compare two lists in Python and return common elements,0,0,0,1
Write a script to scrape data from a website,0,1,0,1
Build a basic calculator in JavaScript,0,1,0,1
Convert this CSV file to JSON using Python,0,1,0,1
Create a function to validate email addresses,0,1,0,1
Can you implement a binary search algorithm?,0,0,0,1
How do I parse this XML file with Python?,0,1,0,0
Fix this indentation error in my script,0,0,0,1
Run this code and tell me the result,0,0,0,1
Write a script that monitors CPU usage,0,1,0,1
Translate this pseudocode into working Python,0,0,0,1
Can you write a unit test for this function?,0,1,0,1
"Why is `range(1, 10)` skipping the number 10 in Python?",0,1,0,0
What does `len([])` return in Python?,0,0,0,1
Fix this: `for(i = 0; i < 5; i++) print(i)`,0,0,0,1
What is wrong with this SQL query: `SELECT * FROM users WHERE id =`,0,1,0,0
"Explain this: `const [a, b] = [1, 2];`",0,1,0,0
Why does `null == undefined` return true in JS?,0,1,0,0
What's the output of `print('Hello' + str(5))`?,0,0,0,1
Fix this error: `TypeError: 'int' object is not iterable`,0,1,0,1
Can you explain what `lambda x: x*2` does?,0,0,0,1
What’s wrong with this HTML? `<div><span></div></span>`,0,1,0,0
How do I fix `IndentationError` in this Python code?,0,0,0,1
Why does this fail: `if (a = 5)` in JavaScript?,0,1,0,0
"What's the output of `sum([1, 2, 3])`?",0,0,0,1
